Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
England,2021-06-22,Bukayo Saka,83,RW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Jadon Sancho,7,RW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Jack Grealish,67,AM,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Jude Bellingham,23,AM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Declan Rice,45,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Jordan Henderson,45,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Kalvin Phillips,90,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Luke Shaw,90,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Harry Maguire,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,John Stones,78,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Tyrone Mings,12,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Kyle Walker,90,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Jordan Pickford,90,GK,0,0,0,0,0,0,0,0,0,1,100.0,NA,0
England,2021-06-29,Harry Kane,90,FW,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Raheem Sterling,90,"LW,RW",1,0,0,0,2,2,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Bukayo Saka,68,RW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Jack Grealish,22,LW,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Luke Shaw,90,LM,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Declan Rice,87,CM,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
England,2021-06-29,Jordan Henderson,3,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Kalvin Phillips,90,CM,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
England,2021-06-29,Kieran Trippier,90,RM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Harry Maguire,90,CB,0,0,0,0,2,1,1,0,NA,NA,NA,NA,NA
England,2021-06-29,John Stones,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Kyle Walker,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-29,Jordan Pickford,90,GK,0,0,0,0,0,0,0,0,0,3,100.0,NA,0
Germany,2021-06-29,Timo Werner,67,FW,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Serge Gnabry,23,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Thomas Müller,89,AM,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Jamal Musiala,1,AM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Kai Havertz,90,AM,0,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Leon Goretzka,90,CM,0,0,0,0,3,1,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Toni Kroos,90,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Robin Gosens,87,WB,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Leroy Sané,3,WB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Joshua Kimmich,90,WB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Antonio Rüdiger,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Mats Hummels,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Matthias Ginter,86,CB,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Emre Can,4,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-06-29,Manuel Neuer,90,GK,0,0,0,0,0,0,0,0,2,2,50.0,NA,0
England,2021-07-03,Harry Kane,72,FW,2,0,0,0,4,3,0,0,NA,NA,NA,NA,NA
