Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2022-01-11,Akram Tawfik,11,RB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Mohamed Abdelmoneim,79,DF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Mohamed El-Shenawy,90,GK,0,0,,0,0,0,0,0,0,0,0,1,4,80.0,NA,0
Egypt,2022-01-15,Mostafa Mohamed,57,FW,0,0,,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Ahmed Sayed,33,MF,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Omar Marmoush,77,FW,0,0,,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Mohamed Sherif,13,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Mohamed Salah,90,FW,1,0,,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Abdallah Said,57,CM,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Trézéguet,33,"FW,MF",0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Mohamed Elneny,77,CM,0,0,,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Hamdy Fathy,13,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Amro El Soulia,90,DM,0,1,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Ayman Ashraf,90,LB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,El Wensh,45,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Mohamed Abdelmoneim,45,DF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Ahmed Hegazi,90,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Omar Kamal,90,RB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-15,Mohamed El-Shenawy,90,GK,0,0,,0,0,0,0,0,0,0,0,0,3,100.0,NA,0
Egypt,2022-01-19,Mostafa Mohamed,84,FW,0,0,,0,0,3,1,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Marwan Hamdy,6,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Omar Marmoush,65,FW,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Trézéguet,25,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Mohamed Salah,90,FW,0,0,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Abdallah Said,56,CM,0,1,,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Ahmed Sayed,34,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
