Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Colombia,2021-07-06,Yimmi Chará,75,RW,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Wílmar Barrios,120,"DM,CM",0,0,0,0,0,1,0,4,1,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Juan Cuadrado,120,"RB,RM",0,0,0,0,0,2,1,2,1,0,0,1,NA,NA,NA,1,NA
Colombia,2021-07-06,William Tesillo,45,LB,0,0,0,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Frank Fabra,75,LB,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Davinson Sánchez,120,CB,0,0,0,0,0,1,1,2,0,0,0,1,NA,NA,NA,0,NA
Colombia,2021-07-06,Yerry Mina,120,CB,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,0,NA
Colombia,2021-07-06,Daniel Muñoz,120,"DM,RB",0,0,0,0,0,1,0,2,1,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,David Ospina,120,GK,0,0,0,0,0,0,0,0,0,0,0,1,2,66.7,0,NA,1
Colombia,2021-07-09,Duván Zapata,54,FW,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Miguel Borja,36,FW,0,0,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Edwin Cardona,45,FW,0,0,0,0,0,1,0,1,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Yimmi Chará,45,FW,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Luis Díaz,90,LM,2,0,0,0,0,4,4,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Gustavo Cuellar,82,CM,0,0,0,0,0,0,0,5,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Rafael Borré,8,CM,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Wílmar Barrios,89,CM,0,0,0,0,0,0,0,5,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Luis Muriel,1,CM,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Juan Cuadrado,90,RM,1,0,0,0,0,2,2,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,William Tesillo,90,LB,0,0,0,0,0,1,0,3,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Óscar Murillo,90,CB,0,0,0,0,0,2,0,1,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Yerry Mina,54,CB,0,0,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Davinson Sánchez,36,CB,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Stefan Medina,90,RB,0,0,0,0,0,0,0,3,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-07-09,Camilo Vargas,90,GK,0,1,0,0,0,0,0,0,0,0,0,2,1,33.3,0,NA,0
Colombia,2021-09-02,Roger Martínez,87,FW,1,0,,0,0,4,2,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Radamel Falcao,3,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Luis Díaz,57,AM,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Yairo Moreno,33,"DF,FW",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Juan Quintero,45,AM,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Andrés Andrade,45,MF,0,0,,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Juan Cuadrado,90,AM,0,0,,0,0,3,1,1,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Wílmar Barrios,86,DM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Alexander Mejía,4,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Mateus Uribe,73,DM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Gustavo Cuellar,17,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,William Tesillo,90,LB,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Óscar Murillo,90,CB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Davinson Sánchez,90,CB,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,Daniel Muñoz,90,RB,0,0,,0,0,0,0,2,1,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-02,David Ospina,90,GK,0,0,,0,0,0,0,0,0,0,0,1,2,66.7,0,NA,0
Colombia,2021-09-05,Miguel Borja,61,FW,0,0,,0,0,3,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-05,Radamel Falcao,29,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-05,Rafael Borré,61,FW,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-05,Roger Martínez,29,"FW,MF",0,0,,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-09-05,Luis Sinisterra,66,LM,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
