Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-07-11,Mark-Anthony Kaye,62,CM,0,0,,0,0,2,0,0,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Samuel Piette,28,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Jonathan Osorio,90,CM,1,0,,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Richie Laryea,90,RM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Kamal Miller,76,CB,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Doneil Henry,14,DF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Steven Vitória,90,CB,0,0,,0,0,1,1,1,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Alistair Johnston,90,CB,0,0,,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Maxime Crépeau,90,GK,0,0,,0,0,0,0,0,0,0,0,1,1,50.0,0,NA,0
Canada,2021-07-15,Cyle Larin,76,FW,2,0,,1,1,3,2,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Ayo Akinola,14,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Lucas Cavallini,62,FW,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Junior Hoilett,28,"FW,MF",1,0,,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Tajon Buchanan,76,LM,0,0,,0,0,2,0,2,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Tyler Pasher,14,"DF,FW",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Mark-Anthony Kaye,90,CM,0,0,,0,0,1,0,4,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Stephen Eustáquio,90,CM,1,0,,0,0,1,1,1,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Jonathan Osorio,62,CM,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Samuel Piette,28,MF,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Alistair Johnston,62,RM,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Richie Laryea,28,"DF,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Kamal Miller,90,CB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Steven Vitória,90,CB,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Doneil Henry,90,CB,0,0,,0,0,1,0,4,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-15,Maxime Crépeau,90,GK,0,0,,0,0,0,0,0,0,0,0,1,3,75.0,0,NA,0
United States,2021-07-18,Daryl Dike,90,FW,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Gyasi Zardes,74,FW,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Matthew Hoppe,16,FW,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Sebastian Lletget,90,CM,0,1,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Gianluca Busio,73,CM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Jackson Yueill,17,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Kellyn Acosta,73,CM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Cristian Roldan,17,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Sam Vines,90,LB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Miles Robinson,90,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,James Sands,90,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Walker Zimmerman,14,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
